Ministère;Catégorie;2014;2015;LFR 2015;2016;2017;LFR 2017;2018;LFR 2018;2019;FLR 2019;LFI 2020;LFR 2020;LFI 2021;LFR 2021;LFI 2022;LFR 2022;LFI 2023;LFI 2024;LFR 2024;LFI 2025;LFI 2026;LFR 2026
PRESIDENCE DE LA REPUBLIQUE;INSTITUTIONS SUPREMES DE L'ETAT;50005566;47203197;66333980;100876196;105345994;109622522;132840069;132298106;178450343;237140217;215231906;210930935;191996674;196641966;219288714;218785316;338487175;264127196;177106350;224679921;313923999;249279019
SENAT;INSTITUTIONS SUPREMES DE L'ETAT;9000001;12327000;10944346;15477000;22310400;21966024;25153000;25153000;33823000;22091333;15524954;16524954;16558322;16541322;19982670;19214721;19107696;22176354;22123979;21323037;23257716;14237322
ASSEMBLEE NATIONALE;INSTITUTIONS SUPREMES DE L'ETAT;30277837;35087000;28817647;35506000;46111000;47829680;50553000;50553000;59931550;38592416;47511935;52511935;50658125;50527125;79505006;79422506;79560837;87453743;87401368;85895450;76810164;89872200
HAUTE COUR CONSTITUTIONNELLE;INSTITUTIONS SUPREMES DE L'ETAT;5096909;5727000;4995242;6166400;6345000;6510259;7295821;7295821;9954000;9587750;9105331;9181831;9181831;9117831;9741361;9360896;9060896;11936376;11936376;9312620;8942359;9649936
PRIMATURE;INSTITUTIONS SUPREMES DE L'ETAT;81503820;87262987;101149053;76097250;100686631;189239090;146296067;163916082;198859297;204015220;120274932;124259784;264273252;263678335;162635886;164922352;235430850;329632624;278303587;339884972;633378384;181120670
CONSEIL DU FAMPIHAVANANA MALAGASY;INSTITUTIONS SUPREMES DE L'ETAT;5675300;5726500;4507152;5693500;6151000;5884824;7123000;7123000;9351000;7194332;8005122;8005122;7765574;7762574;7011074;6795931;6795931;6779147;6685097;6333852;6370872;4070872
COMMISSION ELECTORALE NATIONALE INDEPENDANTE;INSTITUTIONS SUPREMES DE L'ETAT;0;0;0;0;11298000;11563793;52064269;52064269;44352890;43915167;35908243;15218243;15027612;14840612;12228605;43515288;68668822;113287882;113287882;16371418;60925212;50357846
MINISTERE D'ETAT AUPRES DE LA PRESIDENCE EN CHARGE DE LA REFONDATION;INSTITUTIONS SUPREMES DE L'ETAT;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6862060;42862060
FORCES ARMEES;DEFENSE ET SECURITE;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;615421878;667421134
AFFAIRES ETRANGERES;AFFAIRES ETRANGERES ET COOPERATION;63190464;63930579;40041252;48404070;58250691;60507830;48473033;68145442;80187154;67883000;81059309;73260079;84508558;82667985;95776106;81671811;84970048;104881004;99222065;104718813;91238797;100930910
DEFENSE NATIONALE;DEFENSE ET SECURITE;172618347;180347566;172880492;194767105;208659216;207848521;242847941;244161782;278317537;302248815;407049777;332778847;389979466;378413141;421204845;405590618;475362959;563224487;557014688;543155008;0;0
SECRETARIAT D'ETAT AUPRES DU DEFENSE NATIONALE CHARGE DE LA GENDARMERIE NATIONALE;DEFENSE ET SECURITE;0;0;0;0;0;0;0;0;283739988;0;0;0;0;0;357433507;353946945;0;0;0;0;0;0
SECRETARIAT D'ETAT AUPRES DU AFFAIRES ETRANGERES CHARGE DE LA COOPERATION ET DU DEVELOPPEMENT;AFFAIRES ETRANGERES ET COOPERATION;0;0;0;0;0;1692000;4203641;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
MINISTERE DELEGUE CHARGE DE LA GENDARMERIE;DEFENSE ET SECURITE;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;446427720;511192422;576192422
SECRETARIAT D'ETAT CHARGE DE LA GENDARMERIE;DEFENSE ET SECURITE;156355415;168203357;167440509;182135872;196669787;191437052;244578083;246138433;0;283294221;348577533;325261818;317693784;309485072;0;0;407296083;434714330;414766371;0;0;0
SECRETARIAT D'ETAT CHARGE DES NOUVELLES VILLES ET DE L'HABITAT AUPRES DE LA PRESIDENCE DE LA REPUBLIQUE;INFRASTRUCTURES ET TRANSPORTS;0;0;0;0;0;0;0;0;0;0;0;0;0;0;74326902;69172870;356741256;274406324;247070882;138786098;0;0
SECRETARIAT D'ETAT EN CHARGE DE LA SOUVERAINETE ALIMENTAIRE;AGRICULTURE ET DEVELOPPEMENT RURAL;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;127281299;0;0
MINISTÈRE AUPRÈS DE LA PRÉSIDENCE CHARGÉ DES RESSOURCES STRATÉGIQUES;ECONOMIE ET FINANCES;8649865;9082803;4340267;8148762;10061165;11875612;14608118;14837551;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ECONOMIE ET DES FINANCES;ECONOMIE ET FINANCES;0;0;0;0;0;0;0;0;0;1804539049;2018668817;2729802927;2474094645;2949586477;2672902978;2331108271;2676596172;2985558584;2847987632;2332653697;2678253393;2978241926
ECONOMIE ET DE LA PLANIFICATION;ECONOMIE ET FINANCES;9114089;9605435;9454956;11786929;16896798;36350127;61016599;61688796;0;0;0;0;0;0;0;0;0;0;0;0;0;0
INTERIEUR ET DE LA DECENTRALISATION;ADMINISTRATION TERRITORIALE ET SECURITE PUBLIQUE;106677740;113687385;73036108;146695301;237314519;261521760;216925187;243945850;213836452;244761896;370751317;398418215;394552281;360412400;463426576;522621939;840815231;572096878;0;0;364177850;572137188
INTERIEUR;ADMINISTRATION TERRITORIALE ET SECURITE PUBLIQUE;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;150249530;134718719;0;0
DECENTRALISATION ET DE L'AMENAGEMENT DU TERRITOIRE;ADMINISTRATION TERRITORIALE ET SECURITE PUBLIQUE;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;356849378;568080383;0;0
MINISTÈRE D'ETAT CHARGÉ DES INFRASTRUCTURES, DE L'EQUIPEMENT ET DE L'AMÉNAGEMENT DU TERRITOIRE;INFRASTRUCTURES ET TRANSPORTS;81948346;64559797;75530603;206048093;363777388;342179858;480718498;227115097;0;0;0;0;0;0;0;0;0;0;0;0;0;0
